"NAME_1,C,80","NAME_2,C,80","TYPE_2,C,80","ENGTYPE_2,C,80","CC_2,C,80","area_km2,N,11,2"
Dolnośląskie,Bolesławiec,Powiat,County,0201,1303.59
Dolnośląskie,Dzierżoniów,Powiat,County,0202,478.5
Dolnośląskie,Głogów,Powiat,County,0203,443.27
Dolnośląskie,Góra,Powiat,County,0204,738.25
Dolnośląskie,Jawor,Powiat,County,0205,581.09
Dolnośląskie,Karkonoski,Powiat,County,0206,620.31
Dolnośląskie,Jelenia Góra (City),Miasto na prawach powiatu,City with powiat rights,0261,109.3
Dolnośląskie,Kamienna Góra,Powiat,County,0207,392.84
Dolnośląskie,Kłodzko,Powiat,County,0208,1626.15
Dolnośląskie,Legnica,Powiat,County,0209,744.01
Dolnośląskie,Legnica (City),Miasto na prawach powiatu,City with powiat rights,0262,56.29
Dolnośląskie,Lubań,Powiat,County,0210,425.56
Dolnośląskie,Lubiń,Powiat,County,0211,711.63
Dolnośląskie,Lwówek Śląski,Powiat,County,0212,707.34
Dolnośląskie,Milicz,Powiat,County,0213,714.87
Dolnośląskie,Oława,Powiat,County,0215,524.04
Dolnośląskie,Oleśnica,Powiat,County,0214,1049.34
Dolnośląskie,Polkowice,Powiat,County,0216,779.7
Dolnośląskie,Środa Śląska,Powiat,County,0218,704.2
Dolnośląskie,Strzelin,Powiat,County,0217,621.94
Dolnośląskie,Świdnica,Powiat,County,0219,741.42
Dolnośląskie,Trzebnica,Powiat,County,0220,1024.79
Dolnośląskie,Wałbrzych,Powiat,County,0221,512.77
Dolnośląskie,Wołów,Powiat,County,0222,674.94
Dolnośląskie,Wrocław,Powiat,County,0223,1117.89
Dolnośląskie,Wrocław (City),Miasto na prawach powiatu,City with powiat rights,0264,292.81
Dolnośląskie,Ząbkowice Śląskie,Powiat,County,0224,801.38
Dolnośląskie,Zgorzelec,Powiat,County,0225,832.69
Dolnośląskie,Złotoryja,Powiat,County,0226,575.87
Kujawsko-Pomorskie,Aleksandrów,Powiat,County,0401,474.61
Kujawsko-Pomorskie,Brodnica,Powiat,County,0402,1039.9
Kujawsko-Pomorskie,Bydgoszcz,Powiat,County,0403,1393.81
Kujawsko-Pomorskie,Bydgoszcz (City),Miasto na prawach powiatu,City with powiat rights,0403,175.99
Kujawsko-Pomorskie,Chełmno,Powiat,County,0404,527.04
Kujawsko-Pomorskie,Golub-Dobrzyń,Powiat,County,0405,612.69
Kujawsko-Pomorskie,Grudziądz,Powiat,County,0406,728.79
Kujawsko-Pomorskie,Grudziądz (City),Miasto na prawach powiatu,City with powiat rights,0462,57.76
Kujawsko-Pomorskie,Inowrocław,Powiat,County,0407,1225.21
Kujawsko-Pomorskie,Lipno,Powiat,County,0408,1016.72
Kujawsko-Pomorskie,Mogilno,Powiat,County,0409,675.18
Kujawsko-Pomorskie,Nakło,Powiat,County,0410,1120.46
Kujawsko-Pomorskie,Radziejów,Powiat,County,0411,607.22
Kujawsko-Pomorskie,Rypin,Powiat,County,0412,586.7
Kujawsko-Pomorskie,Sępólno,Powiat,County,0413,790.95
Kujawsko-Pomorskie,Świecie,Powiat,County,0414,1474.14
Kujawsko-Pomorskie,Toruń,Powiat,County,0415,1230.57
Kujawsko-Pomorskie,Toruń (City),Miasto na prawach powiatu,City with powiat rights,0463,115.72
Kujawsko-Pomorskie,Tuchola,Powiat,County,0416,1075.36
Kujawsko-Pomorskie,Wąbrzeźno,Powiat,County,0417,500.84
Kujawsko-Pomorskie,Włocławek,Powiat,County,0418,1472.71
Kujawsko-Pomorskie,Włocławek (City),Miasto na prawach powiatu,City with powiat rights,0464,84.33
Kujawsko-Pomorskie,Żnin,Powiat,County,0419,984.75
Łódzkie,Bełchatów,Powiat,County,1001,967.61
Łódzkie,Brzeziny,Powiat,County,1021,358.56
Łódzkie,Kutno,Powiat,County,1002,886.86
Łódzkie,Łask,Powiat,County,1003,618.29
Łódzkie,Łęczyca,Powiat,County,1004,772.76
Łódzkie,Łódź,Miasto na prawach powiatu,City with powiat rights,1061,293.25
Łódzkie,Łódzki Wschodni,Powiat,County,1006,499.81
Łódzkie,Łowicz,Powiat,County,1005,988.13
Łódzkie,Opoczno,Powiat,County,1007,1040.71
Łódzkie,Pabianice,Powiat,County,1008,492.21
Łódzkie,Pajęczno,Powiat,County,1009,804.16
Łódzkie,Piotrków,Powiat,County,1010,1428.31
Łódzkie,Piotrków Trybunalski,Miasto na prawach powiatu,City with powiat rights,1062,67.24
Łódzkie,Poddębice,Powiat,County,1011,880.83
Łódzkie,Radomsko,Powiat,County,1012,1443.18
Łódzkie,Rawa,Powiat,County,1013,646.29
Łódzkie,Sieradz,Powiat,County,1014,1490.89
Łódzkie,Skierniewice,Powiat,County,1015,753.36
Łódzkie,Skierniewice (City),Miasto na prawach powiatu,City with powiat rights,1063,34.61
Łódzkie,Tomaszów Mazowiecki,Powiat,County,1016,1024.02
Łódzkie,Wieluń,Powiat,County,1017,926.24
Łódzkie,Wieruszów,Powiat,County,1018,577.2
Łódzkie,Zduńska Wola,Powiat,County,1019,369.17
Łódzkie,Zgierz,Powiat,County,1020,855.18
Lubelskie,Biała Podlaska,Powiat,County,0601,2746.33
Lubelskie,Biała Podlaska (City),Miasto na prawach powiatu,City with powiat rights,0661,49.4
Lubelskie,Biłgoraj,Powiat,County,0602,1680.99
Lubelskie,Chełm,Powiat,County,0603,1884.97
Lubelskie,Chełm (City),Miasto na prawach powiatu,City with powiat rights,0662,35.28
Lubelskie,Hrubieszów,Powiat,County,0604,1264.99
Lubelskie,Janów Lubelski,Powiat,County,0605,875.29
Lubelskie,Kraśnik,Powiat,County,0607,1005.29
